人數／萬,年齡,2018,2019,2020
年購票1次,20歲以下,0.2136,0.5314,0.7097
年購票1次,21~30歲,2.3414,3.2686,3.7792
年購票1次,31~40歲,3.4463,4.3453,4.605
年購票1次,41~50歲,2.743,3.324,3.1667
年購票1次,51~60歲,0.9506,1.1396,1.0516
年購票1次,60歲以上,0.2857,0.3797,0.3081
年購票2次,20歲以下,0.0337,0.0838,0.1241
年購票2次,21~30歲,0.4813,0.6457,0.7489
年購票2次,31~40歲,0.8389,1.0304,1.0209
年購票2次,41~50歲,0.7402,0.8595,0.7358
年購票2次,51~60歲,0.2514,0.292,0.2697
年購票2次,60歲以上,0.0854,0.1036,0.085
年購票3次以上,20歲以下,0.0297,0.0807,0.1102
年購票3次以上,21~30歲,0.5189,0.6818,0.6049
年購票3次以上,31~40歲,0.9306,1.149,0.8783
年購票3次以上,41~50歲,0.9266,1.0581,0.7239
年購票3次以上,51~60歲,0.4252,0.5129,0.3521
年購票3次以上,60歲以上,0.1913,0.2159,0.1385
